Country,IND,SEX,AGE,TIME,Unit,Value
Australia,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,4.5
Australia,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,5.0
Australia,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,4.9
Australia,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,5.3
Australia,EMP6,MEN,55PLUS,2005,Percentage,3.6
Australia,EMP6,MEN,55PLUS,2010,Percentage,4.2
Australia,EMP6,MEN,55PLUS,2011,Percentage,3.8
Australia,EMP6,MEN,55PLUS,2012,Percentage,4.3
Australia,EMP6,WOMEN,55PLUS,2005,Percentage,5.9
Australia,EMP6,WOMEN,55PLUS,2010,Percentage,6.2
Australia,EMP6,WOMEN,55PLUS,2011,Percentage,6.4
Australia,EMP6,WOMEN,55PLUS,2012,Percentage,6.7
Austria,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,0.9
Austria,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.3
Austria,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,3.1
Austria,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,2.3
Austria,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,2.3
Austria,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,2.6
Austria,EMP6,MEN,55PLUS,1995,Percentage,0.1
Austria,EMP6,MEN,55PLUS,2000,Percentage,1.9
Austria,EMP6,MEN,55PLUS,2005,Percentage,1.7
Austria,EMP6,MEN,55PLUS,2010,Percentage,1.2
Austria,EMP6,MEN,55PLUS,2011,Percentage,1.0
Austria,EMP6,MEN,55PLUS,2012,Percentage,1.3
Austria,EMP6,WOMEN,55PLUS,1995,Percentage,2.6
Austria,EMP6,WOMEN,55PLUS,2000,Percentage,3.1
Austria,EMP6,WOMEN,55PLUS,2005,Percentage,5.4
Austria,EMP6,WOMEN,55PLUS,2010,Percentage,3.9
Austria,EMP6,WOMEN,55PLUS,2011,Percentage,4.2
Austria,EMP6,WOMEN,55PLUS,2012,Percentage,4.4
Belgium,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,0.9
Belgium,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,1.0
Belgium,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,1.8
