region_code,region_name,sub-region_code,sub-region_name,country,iso,developed
2.0,Africa,15.0,Northern Africa,Algeria,DZA,Developing
2.0,Africa,15.0,Northern Africa,Egypt,EGY,Developing
2.0,Africa,15.0,Northern Africa,Libya,LBY,Developing
2.0,Africa,15.0,Northern Africa,Morocco,MAR,Developing
2.0,Africa,15.0,Northern Africa,Sudan,SDN,Developing
2.0,Africa,15.0,Northern Africa,Tunisia,TUN,Developing
2.0,Africa,15.0,Northern Africa,Western Sahara,ESH,Developing
2.0,Africa,202.0,Sub-Saharan Africa,British Indian Ocean Territory,IOT,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Burundi,BDI,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Comoros,COM,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Djibouti,DJI,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Eritrea,ERI,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Ethiopia,ETH,Developing
2.0,Africa,202.0,Sub-Saharan Africa,French Southern Territories,ATF,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Kenya,KEN,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Madagascar,MDG,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Malawi,MWI,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Mauritius,MUS,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Mayotte,MYT,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Mozambique,MOZ,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Réunion,REU,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Rwanda,RWA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Seychelles,SYC,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Somalia,SOM,Developing
2.0,Africa,202.0,Sub-Saharan Africa,South Sudan,SSD,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Uganda,UGA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,United Republic of Tanzania,TZA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Zambia,ZMB,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Zimbabwe,ZWE,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Angola,AGO,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Cameroon,CMR,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Central African Republic,CAF,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Chad,TCD,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Congo,COG,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Democratic Republic of the Congo,COD,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Equatorial Guinea,GNQ,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Gabon,GAB,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Sao Tome and Principe,STP,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Botswana,BWA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Eswatini,SWZ,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Lesotho,LSO,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Namibia,NAM,Developing
2.0,Africa,202.0,Sub-Saharan Africa,South Africa,ZAF,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Benin,BEN,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Burkina Faso,BFA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Cabo Verde,CPV,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Côte d’Ivoire,CIV,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Gambia,GMB,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Ghana,GHA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Guinea,GIN,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Guinea-Bissau,GNB,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Liberia,LBR,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Mali,MLI,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Mauritania,MRT,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Niger,NER,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Nigeria,NGA,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Saint Helena,SHN,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Senegal,SEN,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Sierra Leone,SLE,Developing
2.0,Africa,202.0,Sub-Saharan Africa,Togo,TGO,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Anguilla,AIA,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Antigua and Barbuda,ATG,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Aruba,ABW,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Bahamas,BHS,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Barbados,BRB,Developing
19.0,Americas,419.0,Latin America and the Caribbean,British Virgin Islands,VGB,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Cayman Islands,CYM,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Cuba,CUB,Developing
19.0,Americas,419.0,Latin America and the Caribbean,Curaçao,CUW,Developing
